player_name,nationality,position,team,age,matches_played,minutes_played,goals,assists,goals_assists_total,expected_goals,expected_assists,expected_npxG_plus_xAG
Max Aarons,eng ENG,DF,Bournemouth,24.0,3,86,0,0,0,0.0,0.0,0.0
Joshua Acheampong,eng ENG,DF,Chelsea,18.0,4,170,0,0,0,0.2,0.0,0.2
Tyler Adams,us USA,MF,Bournemouth,25.0,28,1965,0,3,3,1.6,1.0,2.6
Tosin Adarabioyo,eng ENG,DF,Chelsea,26.0,22,1409,1,1,2,0.9,0.2,1.2
Simon Adingra,ci CIV,"FW,MF",Brighton,22.0,29,1097,2,2,4,2.5,2.5,4.9
Emmanuel Agbadou,ci CIV,DF,Wolves,27.0,16,1410,1,0,1,0.8,0.2,1.1
Asher Agbinone,eng ENG,MF,Crystal Palace,18.0,2,6,0,0,0,0.0,0.0,0.1
Ola Aina,ng NGA,DF,Nott'ham Forest,27.0,35,2995,2,1,3,0.6,1.4,2.1
Rayan Aït-Nouri,dz ALG,DF,Wolves,23.0,37,3109,4,7,11,2.7,5.5,8.2
Kristoffer Ajer,no NOR,DF,Brentford,26.0,24,1438,0,0,0,1.0,1.2,2.2
Manuel Akanji,ch SUI,DF,Manchester City,29.0,26,2014,0,0,0,1.6,0.4,1.9
Nathan Aké,nl NED,DF,Manchester City,29.0,10,678,0,0,0,0.2,0.0,0.2
Carlos Alcaraz,ar ARG,MF,Southampton,21.0,1,10,0,0,0,0.1,0.1,0.2
Carlos Alcaraz,ar ARG,"FW,MF",Everton,21.0,15,764,2,3,5,1.7,1.6,3.4
Trent Alexander-Arnold,eng ENG,DF,Liverpool,25.0,33,2365,3,6,9,1.9,7.3,9.2
Alisson,br BRA,GK,Liverpool,31.0,28,2508,0,0,0,0.0,0.6,0.6
Miguel Almirón,py PAR,FW,Newcastle Utd,30.0,9,157,0,0,0,0.5,0.3,0.8
Olabade Aluko,,DF,Leicester City,,1,2,0,0,0,0.0,0.0,0.0
Edson Álvarez,mx MEX,MF,West Ham,26.0,28,1772,0,1,1,0.4,0.8,1.2
Will Alves,eng ENG,FW,Leicester City,19.0,1,1,0,0,0,0.0,0.0,0.0
Harry Amass,eng ENG,DF,Manchester Utd,17.0,5,346,0,0,0,0.1,0.0,0.1
Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18.0,2,28,0,0,0,0.0,0.1,0.1
Mathis Amougou,fr FRA,MF,Chelsea,18.0,1,8,0,0,0,0.0,0.0,0.0
Joachim Andersen,dk DEN,DF,Crystal Palace,28.0,1,90,0,0,0,0.0,0.0,0.0
Joachim Andersen,dk DEN,DF,Fulham,28.0,29,2583,0,0,0,1.0,0.5,1.5
Elliot Anderson,eng ENG,MF,Nott'ham Forest,21.0,37,2728,2,6,8,2.1,3.3,5.4
André,br BRA,MF,Wolves,23.0,33,2472,0,0,0,0.4,0.8,1.3
Michail Antonio,jm JAM,FW,West Ham,34.0,14,836,1,1,2,2.2,1.6,3.8
Antony,br BRA,"DF,MF",Manchester Utd,24.0,8,141,0,0,0,1.0,0.1,1.1
Julian Araujo,mx MEX,DF,Bournemouth,22.0,12,497,0,0,0,0.0,0.1,0.1
Cameron Archer,eng ENG,FW,Southampton,23.0,35,1441,2,0,2,5.7,0.5,5.4
Alphonse Areola,fr FRA,GK,West Ham,31.0,26,2260,0,0,0,0.0,0.0,0.0
Joe Aribo,ng NGA,"MF,DF",Southampton,28.0,32,2013,3,0,3,2.7,1.6,4.3
Adam Armstrong,eng ENG,"FW,MF",Southampton,27.0,20,1248,2,2,4,3.3,1.2,3.5
Harrison Armstrong,eng ENG,MF,Everton,17.0,3,48,0,0,0,0.4,0.1,0.4
Kepa Arrizabalaga,es ESP,GK,Bournemouth,29.0,31,2790,0,0,0,0.1,0.0,0.1
